2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.ZROUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"2.0249","close":"2.0292","high":"2.0309","low":"2.0244","volume":"10744.3","turnover":"21794.31723","confirm":false,"timestamp":1755710205045}],"ts":1755710205045,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.ZROUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"2.0249","close":"2.0292","high":"2.0309","low":"2.0244","volume":"10744.3","turnover":"21794.31723","confirm":false,"timestamp":1755710205045}],"ts":1755710205045,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.SLFUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.0569","close":"0.0569","high":"0.0569","low":"0.0569","volume":"4560","turnover":"259.464","confirm":false,"timestamp":1755710205052}],"ts":1755710205052,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.SLFUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.0569","close":"0.0569","high":"0.0569","low":"0.0569","volume":"0","turnover":"0","confirm":false,"timestamp":1755710205053}],"ts":1755710205053,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.SLFUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.0569","close":"0.0569","high":"0.0569","low":"0.0569","volume":"4560","turnover":"259.464","confirm":false,"timestamp":1755710205053}],"ts":1755710205053,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.FARTCOINUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.9081","close":"0.9076","high":"0.9091","low":"0.9076","volume":"73163","turnover":"66454.963","confirm":false,"timestamp":1755710205053}],"ts":1755710205053,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.FARTCOINUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.9057","close":"0.9076","high":"0.9091","low":"0.9057","volume":"246236","turnover":"223451.2114","confirm":false,"timestamp":1755710205053}],"ts":1755710205053,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.1.1000NEIROCTOUSDT","data":[{"start":1755710160000,"end":1755710219999,"interval":"1","open":"0.3698","close":"0.3701","high":"0.3701","low":"0.3697","volume":"752","turnover":"278.1663","confirm":false,"timestamp":1755710205054}],"ts":1755710205054,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.5.1000NEIROCTOUSDT","data":[{"start":1755710100000,"end":1755710399999,"interval":"5","open":"0.3683","close":"0.3701","high":"0.3701","low":"0.3683","volume":"12411","turnover":"4584.2449","confirm":false,"timestamp":1755710205054}],"ts":1755710205054,"type":"snapshot"}
2025-08-20 19:16:46 - DEBUG - Received message: {"topic":"kline.15.1000NEIROCTOUSDT","data":[{"start":1755710100000,"end":1755710999999,"interval":"15","open":"0.3683","close":"0.3701","high":"0.3701","low":"0.3683","volume":"12411","turnover":"4584.2449","confirm":false,"timestamp":1755710205054}],"ts":1755710205054,"type":"snapshot"}
